material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability
Plastic,1887,Low,1,3.963,9.435,2
Metal,137,Low,1,0.247,0.685,5
Glass,558,High,1,0.837,2.79,6
Paper,1441,Medium,1,1.297,7.205,9
Bioplastic,115,Low,1,0.081,0.575,7
Glass,1520,Medium,1,2.28,7.6,6
Metal,1605,Medium,1,2.889,8.025,5
Glass,349,Low,1,0.523,1.745,6
Glass,190,Medium,1,0.285,0.95,6
Paper,1221,Low,1,1.099,6.105,9
Bioplastic,1526,Low,0,1.068,7.63,7
Ceramic,526,Medium,1,0.631,2.63,5
Paper,1873,Medium,1,1.686,9.365,9
Metal,1387,Medium,1,2.497,6.935,5
Plastic,519,High,1,1.09,2.595,2
Metal,1446,Low,1,2.603,7.23,5
Ceramic,1077,Medium,0,1.292,5.385,5
Metal,441,Medium,0,0.794,2.205,5
Paper,1180,Low,1,1.062,5.9,9
Glass,1148,Medium,0,1.722,5.74,6
Plastic,778,Medium,0,1.634,3.89,2
Glass,1207,Low,1,1.81,6.035,6
Ceramic,1022,Low,1,1.226,5.11,5
Bioplastic,1167,Low,1,0.817,5.835,7
Metal,1341,High,1,2.414,6.705,5
Bioplastic,208,Medium,1,0.146,1.04,7
Paper,1220,Medium,1,1.098,6.1,9
Plastic,235,Low,0,0.493,1.175,2
Metal,637,Medium,1,1.147,3.185,5
Paper,1643,Low,1,1.479,8.215,9
Plastic,1608,Low,0,3.377,8.04,2
Bioplastic,928,Medium,1,0.65,4.64,7
Ceramic,1385,Medium,1,1.662,6.925,5
Paper,1971,Low,1,1.774,9.855,9
Ceramic,869,Low,0,1.043,4.345,5
Bioplastic,303,Low,0,0.212,1.515,7
Glass,1581,Low,1,2.372,7.905,6
Bioplastic,1763,Low,1,1.234,8.815,7
Metal,1826,Medium,1,3.287,9.13,5
Paper,145,High,0,0.131,0.725,9
Glass,1025,Low,1,1.538,5.125,6
Glass,1973,Medium,1,2.959,9.865,6
Paper,745,Medium,1,0.67,3.725,9
Plastic,919,Low,1,1.93,4.595,2
Paper,1023,Low,1,0.921,5.115,9
Glass,1614,Medium,1,2.421,8.07,6
Ceramic,1667,Low,1,2,8.335,5
Bioplastic,1282,Low,1,0.897,6.41,7
Ceramic,984,High,1,1.181,4.92,5
Ceramic,1552,Medium,1,1.862,7.76,5
Bioplastic,465,Low,1,0.326,2.325,7
Bioplastic,747,Low,1,0.523,3.735,7
Bioplastic,558,Low,1,0.391,2.79,7
Paper,1664,Medium,1,1.498,8.32,9
Metal,1807,Medium,0,3.253,9.035,5
Ceramic,1076,Medium,0,1.291,5.38,5
Metal,1181,Low,0,2.126,5.905,5
Glass,327,Low,0,0.49,1.635,6
Plastic,920,Low,1,1.932,4.6,2
Metal,360,Low,0,0.648,1.8,5
Ceramic,1648,Medium,1,1.978,8.24,5
Glass,142,Low,1,0.213,0.71,6
Glass,1063,Low,1,1.595,5.315,6
Glass,802,Low,1,1.203,4.01,6
Bioplastic,1417,High,0,0.992,7.085,7
Bioplastic,1010,High,1,0.707,5.05,7
Paper,572,High,1,0.515,2.86,9
Paper,1435,High,1,1.292,7.175,9
Bioplastic,1971,Medium,1,1.38,9.855,7
Metal,469,Medium,1,0.844,2.345,5
Plastic,1849,Medium,1,3.883,9.245,2
Metal,589,Medium,1,1.06,2.945,5
Bioplastic,601,High,1,0.421,3.005,7
Paper,335,Medium,1,0.301,1.675,9
Ceramic,161,Medium,1,0.193,0.805,5
Glass,876,Medium,1,1.314,4.38,6
Glass,203,Medium,1,0.304,1.015,6
Paper,1160,High,1,1.044,5.8,9
Glass,1009,Medium,0,1.514,5.045,6
Plastic,1405,Low,0,2.95,7.025,2
Glass,1963,Medium,1,2.945,9.815,6
Glass,1931,High,1,2.897,9.655,6
Glass,249,Low,1,0.373,1.245,6
Bioplastic,236,Low,1,0.165,1.18,7
Paper,1099,Medium,1,0.989,5.495,9
Bioplastic,1788,Medium,1,1.252,8.94,7
Glass,689,High,1,1.034,3.445,6
Bioplastic,1232,Low,1,0.862,6.16,7
Glass,449,Medium,1,0.673,2.245,6
Plastic,870,Medium,1,1.827,4.35,2
Metal,417,Medium,1,0.751,2.085,5
Plastic,1679,Medium,1,3.526,8.395,2
Glass,951,Low,1,1.427,4.755,6
Ceramic,432,Medium,1,0.518,2.16,5
Ceramic,1091,Low,1,1.309,5.455,5
Paper,297,Low,0,0.267,1.485,9
Bioplastic,1111,High,1,0.778,5.555,7
Glass,1566,Medium,1,2.349,7.83,6
Paper,1767,Low,1,1.59,8.835,9
Bioplastic,1947,Medium,1,1.363,9.735,7
Paper,1876,Low,1,1.688,9.38,9
Plastic,501,High,0,1.052,2.505,2
Paper,1921,Medium,1,1.729,9.605,9
Bioplastic,426,Medium,1,0.298,2.13,7
Plastic,753,Medium,1,1.581,3.765,2
Bioplastic,303,Medium,1,0.212,1.515,7
Bioplastic,498,Low,1,0.349,2.49,7
Ceramic,681,High,1,0.817,3.405,5
Paper,1935,Medium,1,1.742,9.675,9
Glass,1829,High,1,2.744,9.145,6
Glass,1499,High,1,2.248,7.495,6
Metal,759,Medium,0,1.366,3.795,5
Plastic,1254,Medium,1,2.633,6.27,2
Plastic,1605,Medium,1,3.37,8.025,2
Ceramic,1453,Low,1,1.744,7.265,5
Metal,665,High,0,1.197,3.325,5
Plastic,700,High,1,1.47,3.5,2
Bioplastic,1948,Medium,1,1.364,9.74,7
Glass,452,Low,0,0.678,2.26,6
Bioplastic,165,Medium,1,0.115,0.825,7
Glass,831,Low,1,1.246,4.155,6
Metal,1566,Low,1,2.819,7.83,5
Bioplastic,326,High,0,0.228,1.63,7
Plastic,1977,Low,1,4.152,9.885,2
Plastic,1956,Low,1,4.108,9.78,2
Glass,332,Low,1,0.498,1.66,6
Bioplastic,1909,High,0,1.336,9.545,7
Ceramic,1057,High,1,1.268,5.285,5
Ceramic,1970,Low,1,2.364,9.85,5
Bioplastic,1782,Medium,0,1.247,8.91,7
Glass,1261,Medium,1,1.891,6.305,6
Metal,572,High,1,1.03,2.86,5
Metal,167,Medium,0,0.301,0.835,5
Plastic,429,Medium,1,0.901,2.145,2
Plastic,614,Medium,1,1.289,3.07,2
Metal,1347,Low,1,2.425,6.735,5
Glass,1358,Low,0,2.037,6.79,6
Glass,1099,High,0,1.649,5.495,6
Bioplastic,723,High,1,0.506,3.615,7
Plastic,1578,Low,1,3.314,7.89,2
Bioplastic,620,Medium,1,0.434,3.1,7
Paper,1766,High,1,1.589,8.83,9
Glass,990,High,1,1.485,4.95,6
Plastic,875,Medium,1,1.837,4.375,2
Metal,679,Low,1,1.222,3.395,5
Plastic,775,High,0,1.627,3.875,2
Bioplastic,1393,Medium,1,0.975,6.965,7
Metal,1624,High,0,2.923,8.12,5
Bioplastic,634,Medium,1,0.444,3.17,7
Ceramic,1119,Low,1,1.343,5.595,5
Glass,1965,High,1,2.947,9.825,6
Bioplastic,1650,Medium,1,1.155,8.25,7
Paper,275,Low,1,0.247,1.375,9
Paper,244,Low,1,0.22,1.22,9
Paper,1487,Low,1,1.338,7.435,9
Metal,1808,Medium,1,3.254,9.04,5
Metal,358,High,0,0.644,1.79,5
Paper,1697,High,1,1.527,8.485,9
Plastic,1311,Medium,1,2.753,6.555,2
Metal,1777,Low,1,3.199,8.885,5
Bioplastic,777,Low,1,0.544,3.885,7
Plastic,1928,Low,0,4.049,9.64,2
Plastic,1143,Low,1,2.4,5.715,2
Paper,832,Medium,1,0.749,4.16,9
Bioplastic,1206,Medium,0,0.844,6.03,7
Plastic,1860,Low,1,3.906,9.3,2
Paper,228,Medium,1,0.205,1.14,9
Metal,1428,Low,1,2.57,7.14,5
Paper,993,Medium,0,0.894,4.965,9
Bioplastic,212,Medium,1,0.148,1.06,7
Plastic,1085,High,1,2.279,5.425,2
Plastic,363,Low,1,0.762,1.815,2
Paper,1940,Medium,1,1.746,9.7,9
Metal,720,Low,1,1.296,3.6,5
Ceramic,545,Low,1,0.654,2.725,5
Plastic,939,Medium,1,1.972,4.695,2
Paper,379,Low,0,0.341,1.895,9
Plastic,1973,Medium,1,4.143,9.865,2
Plastic,1045,Medium,1,2.195,5.225,2
Ceramic,333,High,1,0.4,1.665,5
Plastic,1071,Low,1,2.249,5.355,2
Plastic,939,Low,1,1.972,4.695,2
Paper,793,Medium,1,0.714,3.965,9
Metal,1541,Low,1,2.774,7.705,5
Metal,224,High,0,0.403,1.12,5
Bioplastic,354,Low,1,0.248,1.77,7
Plastic,1763,Low,1,3.702,8.815,2
Bioplastic,1231,Low,0,0.862,6.155,7
Plastic,222,Low,1,0.466,1.11,2
Metal,1778,Medium,1,3.2,8.89,5
Ceramic,1399,High,1,1.679,6.995,5
Glass,1609,Medium,0,2.413,8.045,6
Metal,1536,Low,1,2.765,7.68,5
Ceramic,465,Medium,1,0.558,2.325,5
Metal,1160,Low,1,2.088,5.8,5
Ceramic,1911,Low,1,2.293,9.555,5
Metal,303,High,1,0.545,1.515,5
Bioplastic,1737,Low,1,1.216,8.685,7
Ceramic,898,Medium,0,1.078,4.49,5
Paper,221,Low,1,0.199,1.105,9
Ceramic,419,Low,1,0.503,2.095,5
Plastic,264,Medium,1,0.554,1.32,2
Plastic,979,Low,1,2.056,4.895,2
Plastic,379,Medium,1,0.796,1.895,2
Plastic,964,High,1,2.024,4.82,2
Paper,1950,High,1,1.755,9.75,9
Bioplastic,1299,Low,1,0.909,6.495,7
Plastic,1931,Medium,1,4.055,9.655,2
Paper,716,Low,1,0.644,3.58,9
Bioplastic,1570,High,0,1.099,7.85,7
Metal,903,Low,1,1.625,4.515,5
Metal,1212,Medium,1,2.182,6.06,5
Metal,1622,Low,1,2.92,8.11,5
Metal,146,Medium,0,0.263,0.73,5
Bioplastic,1337,Medium,0,0.936,6.685,7
Bioplastic,1829,Low,1,1.28,9.145,7
Bioplastic,628,Medium,1,0.44,3.14,7
Glass,1680,Low,1,2.52,8.4,6
Metal,1493,Low,1,2.687,7.465,5
Plastic,386,High,1,0.811,1.93,2
Ceramic,1958,Medium,0,2.35,9.79,5
Plastic,284,Low,0,0.596,1.42,2
Bioplastic,175,Low,0,0.122,0.875,7
Metal,1172,Low,1,2.11,5.86,5
Glass,1976,Medium,1,2.964,9.88,6
Metal,1024,Medium,1,1.843,5.12,5
Metal,1268,Medium,1,2.282,6.34,5
Glass,588,High,1,0.882,2.94,6
Plastic,1111,Medium,1,2.333,5.555,2
Glass,1339,Medium,1,2.009,6.695,6
Plastic,1264,Medium,1,2.654,6.32,2
Metal,1411,High,0,2.54,7.055,5
Ceramic,1450,Medium,1,1.74,7.25,5
Plastic,766,Medium,0,1.609,3.83,2
Ceramic,1465,Medium,0,1.758,7.325,5
Paper,1903,Low,0,1.713,9.515,9
Metal,283,Medium,1,0.509,1.415,5
Ceramic,1559,Medium,1,1.871,7.795,5
Glass,1023,Medium,0,1.534,5.115,6
Paper,1234,Low,1,1.111,6.17,9
Metal,1187,Medium,1,2.137,5.935,5
Metal,1024,Low,1,1.843,5.12,5
Glass,181,High,1,0.272,0.905,6
Bioplastic,697,Medium,1,0.488,3.485,7
Ceramic,1785,High,1,2.142,8.925,5
Plastic,163,Low,1,0.342,0.815,2
Metal,242,Medium,1,0.436,1.21,5
Ceramic,1090,Low,1,1.308,5.45,5
Plastic,1637,Low,1,3.438,8.185,2
Paper,1544,Low,1,1.39,7.72,9
Ceramic,845,Low,1,1.014,4.225,5
Plastic,391,Low,1,0.821,1.955,2
Glass,194,Medium,1,0.291,0.97,6
Glass,1892,Low,1,2.838,9.46,6
Ceramic,103,Low,1,0.124,0.515,5
Glass,1194,Low,1,1.791,5.97,6
Paper,699,High,0,0.629,3.495,9
Plastic,749,Low,0,1.573,3.745,2
Plastic,1632,Low,1,3.427,8.16,2
Glass,1277,Medium,1,1.915,6.385,6
Plastic,313,High,1,0.657,1.565,2
Metal,207,Medium,1,0.373,1.035,5
Paper,1150,Low,1,1.035,5.75,9
Ceramic,359,High,1,0.431,1.795,5
Bioplastic,1030,Low,1,0.721,5.15,7
Glass,666,Low,1,0.999,3.33,6
Glass,1329,Low,1,1.994,6.645,6
Bioplastic,979,High,1,0.685,4.895,7
Plastic,1881,High,1,3.95,9.405,2
Bioplastic,911,Low,1,0.638,4.555,7
Glass,1803,High,0,2.704,9.015,6
Bioplastic,1515,Low,1,1.06,7.575,7
Plastic,1850,High,1,3.885,9.25,2
Paper,1503,Low,1,1.353,7.515,9
Paper,1113,Low,1,1.002,5.565,9
Glass,1425,Medium,1,2.138,7.125,6
Metal,1881,Low,0,3.386,9.405,5
Ceramic,1119,Medium,1,1.343,5.595,5
Glass,548,Medium,1,0.822,2.74,6
Glass,1257,Low,0,1.885,6.285,6
Metal,1626,High,1,2.927,8.13,5
Paper,140,Low,1,0.126,0.7,9
Metal,979,Medium,0,1.762,4.895,5
Bioplastic,1442,Medium,1,1.009,7.21,7
Glass,1481,Low,1,2.221,7.405,6
Paper,1527,Low,1,1.374,7.635,9
Glass,139,Low,1,0.208,0.695,6
Glass,1985,Low,1,2.978,9.925,6
Glass,190,Medium,1,0.285,0.95,6
Plastic,916,Medium,1,1.924,4.58,2
Paper,446,High,1,0.401,2.23,9
Glass,293,Medium,1,0.44,1.465,6
Bioplastic,1561,Medium,1,1.093,7.805,7
Metal,769,Low,1,1.384,3.845,5
Bioplastic,404,Low,0,0.283,2.02,7
Bioplastic,1917,Low,0,1.342,9.585,7
Plastic,1738,Low,0,3.65,8.69,2
Ceramic,1206,Low,0,1.447,6.03,5
Ceramic,735,Low,1,0.882,3.675,5
Glass,1416,Medium,1,2.124,7.08,6
Bioplastic,1741,High,1,1.219,8.705,7
Plastic,419,Low,1,0.88,2.095,2
Ceramic,904,High,1,1.085,4.52,5
Plastic,719,Medium,1,1.51,3.595,2
Paper,1239,Low,0,1.115,6.195,9
Paper,1403,High,1,1.263,7.015,9
Bioplastic,1072,Medium,1,0.75,5.36,7
Ceramic,1813,High,1,2.176,9.065,5
Plastic,1782,Medium,1,3.742,8.91,2
Glass,1339,Medium,1,2.009,6.695,6
Plastic,478,High,0,1.004,2.39,2
Glass,1979,Low,1,2.969,9.895,6
Glass,505,Medium,1,0.757,2.525,6
Metal,1600,Medium,1,2.88,8,5
Bioplastic,273,High,1,0.191,1.365,7
Plastic,923,Medium,1,1.938,4.615,2
Metal,1800,Medium,1,3.24,9,5
Glass,1375,High,1,2.062,6.875,6
Paper,428,Medium,1,0.385,2.14,9
Metal,299,Medium,1,0.538,1.495,5
Glass,852,Low,1,1.278,4.26,6
Paper,366,Low,1,0.329,1.83,9
Bioplastic,659,High,0,0.461,3.295,7
Metal,656,Medium,1,1.181,3.28,5
Plastic,111,Low,0,0.233,0.555,2
Metal,1906,Low,1,3.431,9.53,5
Plastic,1413,Medium,0,2.967,7.065,2
Ceramic,922,Low,1,1.106,4.61,5
Bioplastic,1353,High,1,0.947,6.765,7
Ceramic,504,Low,1,0.605,2.52,5
Metal,823,Low,1,1.481,4.115,5
Ceramic,1647,High,1,1.976,8.235,5
Ceramic,513,Medium,1,0.616,2.565,5
Plastic,1028,Medium,1,2.159,5.14,2
Bioplastic,771,Low,1,0.54,3.855,7
Ceramic,1923,Low,1,2.308,9.615,5
Glass,835,Low,1,1.252,4.175,6
Paper,1837,High,1,1.653,9.185,9
Metal,1452,Low,1,2.614,7.26,5
Metal,1803,Medium,1,3.245,9.015,5
Glass,943,Low,1,1.415,4.715,6
Paper,506,Low,0,0.455,2.53,9
Bioplastic,321,Medium,1,0.225,1.605,7
Ceramic,1698,Low,0,2.038,8.49,5
Metal,1945,Medium,1,3.501,9.725,5
Metal,454,Low,1,0.817,2.27,5
Metal,508,Medium,1,0.914,2.54,5
Plastic,1899,Medium,1,3.988,9.495,2
Bioplastic,181,High,1,0.127,0.905,7
Ceramic,161,Low,1,0.193,0.805,5
Bioplastic,614,High,1,0.43,3.07,7
Paper,1660,High,1,1.494,8.3,9
Glass,1794,Medium,1,2.691,8.97,6
Ceramic,1890,Low,1,2.268,9.45,5
Bioplastic,681,Low,1,0.477,3.405,7
Ceramic,647,Medium,0,0.776,3.235,5
Bioplastic,1646,Low,1,1.152,8.23,7
Plastic,757,Low,1,1.59,3.785,2
Plastic,1520,Medium,0,3.192,7.6,2
Metal,1876,Low,1,3.377,9.38,5
Plastic,404,Medium,1,0.848,2.02,2
Paper,573,Medium,1,0.516,2.865,9
Ceramic,888,Medium,1,1.066,4.44,5
Plastic,761,Medium,1,1.598,3.805,2
Paper,362,Medium,1,0.326,1.81,9
Metal,1557,Low,1,2.803,7.785,5
Metal,148,Low,1,0.266,0.74,5
Glass,189,Low,1,0.283,0.945,6
Ceramic,1160,Low,0,1.392,5.8,5
Paper,1453,Medium,1,1.308,7.265,9
Paper,1919,Medium,1,1.727,9.595,9
Ceramic,723,Low,0,0.868,3.615,5
Glass,537,High,1,0.805,2.685,6
Glass,706,Low,1,1.059,3.53,6
Ceramic,473,Medium,1,0.568,2.365,5
Metal,214,Medium,0,0.385,1.07,5
Glass,991,Low,1,1.486,4.955,6
Metal,806,Low,1,1.451,4.03,5
Metal,1736,Low,1,3.125,8.68,5
Paper,873,Medium,1,0.786,4.365,9
Paper,968,Low,1,0.871,4.84,9
Metal,561,Medium,1,1.01,2.805,5
Glass,1208,High,1,1.812,6.04,6
Glass,1393,Medium,1,2.09,6.965,6
Metal,503,Low,1,0.905,2.515,5
Bioplastic,1404,Low,1,0.983,7.02,7
Metal,1232,Medium,1,2.218,6.16,5
Glass,803,Low,1,1.204,4.015,6
Ceramic,1822,Medium,1,2.186,9.11,5
Bioplastic,951,Low,1,0.666,4.755,7
Bioplastic,1237,High,1,0.866,6.185,7
Plastic,1312,Medium,1,2.755,6.56,2
Ceramic,711,Low,1,0.853,3.555,5
Ceramic,1647,Medium,1,1.976,8.235,5
Metal,1564,Low,0,2.815,7.82,5
Plastic,123,Medium,1,0.258,0.615,2
Paper,1393,Low,1,1.254,6.965,9
Plastic,348,Medium,1,0.731,1.74,2
Paper,1731,Low,0,1.558,8.655,9
Paper,474,Medium,1,0.427,2.37,9
Ceramic,294,Low,1,0.353,1.47,5
Plastic,1250,Low,1,2.625,6.25,2
Glass,292,High,1,0.438,1.46,6
Metal,269,High,1,0.484,1.345,5
Glass,300,Low,1,0.45,1.5,6
Bioplastic,1119,High,1,0.783,5.595,7
Metal,187,Medium,0,0.337,0.935,5
Bioplastic,509,Medium,1,0.356,2.545,7
Metal,1089,Low,1,1.96,5.445,5
Plastic,788,High,0,1.655,3.94,2
Bioplastic,1953,Medium,1,1.367,9.765,7
Metal,1784,Low,1,3.211,8.92,5
Paper,1092,Low,1,0.983,5.46,9
Glass,946,High,1,1.419,4.73,6
Plastic,429,Medium,1,0.901,2.145,2
Metal,944,Medium,1,1.699,4.72,5
Metal,258,Low,1,0.464,1.29,5
Paper,1700,High,1,1.53,8.5,9
Bioplastic,880,Low,1,0.616,4.4,7
Bioplastic,915,Medium,1,0.64,4.575,7
Metal,389,Low,1,0.7,1.945,5
Metal,1665,Low,0,2.997,8.325,5
Bioplastic,1940,High,1,1.358,9.7,7
Glass,306,Low,0,0.459,1.53,6
Metal,1412,High,0,2.542,7.06,5
Bioplastic,227,Medium,1,0.159,1.135,7
Ceramic,400,Low,0,0.48,2,5
Plastic,1529,Low,1,3.211,7.645,2
Bioplastic,391,Low,1,0.274,1.955,7
Plastic,583,Medium,1,1.224,2.915,2
Bioplastic,398,Low,0,0.279,1.99,7
Glass,1449,Medium,1,2.174,7.245,6
Bioplastic,284,Medium,1,0.199,1.42,7
Bioplastic,974,Low,1,0.682,4.87,7
Bioplastic,1595,Medium,1,1.117,7.975,7
Ceramic,845,Medium,1,1.014,4.225,5
Plastic,1730,Medium,1,3.633,8.65,2
Ceramic,888,Medium,1,1.066,4.44,5
Metal,365,Low,1,0.657,1.825,5
Plastic,643,Medium,1,1.35,3.215,2
Metal,1121,Low,1,2.018,5.605,5
Bioplastic,321,Low,1,0.225,1.605,7
Glass,1619,Low,1,2.429,8.095,6
Paper,610,High,1,0.549,3.05,9
Ceramic,1099,High,1,1.319,5.495,5
Ceramic,1853,Low,1,2.224,9.265,5
Paper,744,Medium,0,0.67,3.72,9
Paper,924,High,1,0.832,4.62,9
Metal,1197,Low,1,2.155,5.985,5
Ceramic,1978,Low,1,2.374,9.89,5
Bioplastic,578,Medium,0,0.405,2.89,7
Glass,917,Medium,1,1.375,4.585,6
Bioplastic,1019,Low,1,0.713,5.095,7
Bioplastic,1092,Low,0,0.764,5.46,7
Paper,854,Medium,1,0.769,4.27,9
Bioplastic,1963,Medium,1,1.374,9.815,7
Glass,106,Low,1,0.159,0.53,6
Plastic,559,Low,1,1.174,2.795,2
Glass,245,High,0,0.367,1.225,6
Glass,358,Low,0,0.537,1.79,6
Bioplastic,1685,Medium,1,1.179,8.425,7
Plastic,154,Low,1,0.323,0.77,2
Bioplastic,1514,Medium,1,1.06,7.57,7
Paper,1686,Medium,1,1.517,8.43,9
Paper,940,Medium,1,0.846,4.7,9
Glass,1148,High,1,1.722,5.74,6
Paper,1026,Low,1,0.923,5.13,9
Glass,598,Medium,1,0.897,2.99,6
Bioplastic,1916,Low,1,1.341,9.58,7
Paper,1827,Low,1,1.644,9.135,9
Metal,1338,Medium,1,2.408,6.69,5
Paper,270,High,0,0.243,1.35,9
Plastic,456,Low,1,0.958,2.28,2
Metal,522,Medium,1,0.94,2.61,5
Plastic,1667,Low,1,3.501,8.335,2
Paper,445,High,1,0.401,2.225,9
Ceramic,1017,Medium,0,1.22,5.085,5
Paper,139,Low,1,0.125,0.695,9
Paper,452,High,1,0.407,2.26,9
Metal,390,Medium,1,0.702,1.95,5
Ceramic,415,Medium,1,0.498,2.075,5
Plastic,700,High,0,1.47,3.5,2
Metal,1423,Medium,1,2.561,7.115,5
Glass,1670,Low,1,2.505,8.35,6
Bioplastic,360,Low,1,0.252,1.8,7
Plastic,1094,Medium,1,2.297,5.47,2
Plastic,1841,Low,1,3.866,9.205,2
Ceramic,1265,Low,1,1.518,6.325,5
Metal,522,Medium,1,0.94,2.61,5
Glass,740,Medium,1,1.11,3.7,6
Ceramic,1558,Medium,0,1.87,7.79,5
Ceramic,345,Medium,1,0.414,1.725,5
Paper,554,Low,1,0.499,2.77,9
Glass,657,Low,1,0.986,3.285,6
Bioplastic,616,Low,0,0.431,3.08,7
Bioplastic,1281,High,1,0.897,6.405,7
Plastic,360,High,1,0.756,1.8,2
Bioplastic,1194,Medium,1,0.836,5.97,7
Plastic,416,Medium,1,0.874,2.08,2
Ceramic,189,Low,1,0.227,0.945,5
Plastic,1579,Low,1,3.316,7.895,2
Bioplastic,1095,Medium,1,0.766,5.475,7
Glass,1314,Low,1,1.971,6.57,6
Plastic,190,Medium,1,0.399,0.95,2
Ceramic,1113,High,1,1.336,5.565,5
Glass,1738,Low,1,2.607,8.69,6
Plastic,1755,Medium,1,3.686,8.775,2
Plastic,223,High,1,0.468,1.115,2
Paper,386,Low,1,0.347,1.93,9
Ceramic,1203,Low,1,1.444,6.015,5
Metal,482,Medium,1,0.868,2.41,5
Bioplastic,1916,Medium,0,1.341,9.58,7
Ceramic,772,Medium,1,0.926,3.86,5
Plastic,198,Low,1,0.416,0.99,2
Plastic,455,Low,1,0.956,2.275,2
Bioplastic,1433,Medium,1,1.003,7.165,7
Glass,616,Medium,1,0.924,3.08,6
Paper,1476,Medium,1,1.328,7.38,9
Metal,1285,High,1,2.313,6.425,5
Ceramic,329,Medium,1,0.395,1.645,5
Bioplastic,1016,High,1,0.711,5.08,7
Ceramic,1145,Medium,1,1.374,5.725,5
Glass,626,Low,1,0.939,3.13,6
Plastic,462,High,1,0.97,2.31,2
Paper,1411,Medium,1,1.27,7.055,9
Bioplastic,710,Medium,0,0.497,3.55,7
Plastic,1572,High,1,3.301,7.86,2
Glass,1769,Medium,1,2.654,8.845,6
Glass,1072,Medium,1,1.608,5.36,6
Metal,1062,Medium,0,1.912,5.31,5
Ceramic,1072,High,1,1.286,5.36,5
Plastic,1335,High,1,2.804,6.675,2
Metal,597,Low,1,1.075,2.985,5
Glass,410,Medium,0,0.615,2.05,6
Metal,193,High,0,0.347,0.965,5
Metal,1699,Low,1,3.058,8.495,5
Bioplastic,1541,Medium,1,1.079,7.705,7
Glass,1757,Medium,1,2.635,8.785,6
Plastic,790,Low,0,1.659,3.95,2
Metal,1215,High,1,2.187,6.075,5
Metal,198,Low,1,0.356,0.99,5
Metal,1938,High,1,3.488,9.69,5
Paper,1492,Medium,1,1.343,7.46,9
Glass,382,Medium,1,0.573,1.91,6
Paper,1077,High,1,0.969,5.385,9
Paper,1252,Low,1,1.127,6.26,9
Plastic,943,Low,1,1.98,4.715,2
Metal,595,High,1,1.071,2.975,5
Glass,758,Low,1,1.137,3.79,6
Paper,917,High,1,0.825,4.585,9
Bioplastic,551,High,1,0.386,2.755,7
Ceramic,1067,Low,0,1.28,5.335,5
Metal,1045,Low,1,1.881,5.225,5
Metal,653,Low,0,1.175,3.265,5
Glass,1655,Medium,1,2.482,8.275,6
Bioplastic,1195,High,1,0.837,5.975,7
Plastic,1616,High,0,3.394,8.08,2
Plastic,1356,High,0,2.848,6.78,2
Ceramic,1817,High,1,2.18,9.085,5
Bioplastic,1272,Low,0,0.89,6.36,7
Metal,701,High,0,1.262,3.505,5
Metal,1176,High,1,2.117,5.88,5
Metal,1123,High,1,2.021,5.615,5
Paper,559,Low,1,0.503,2.795,9
Ceramic,1942,Low,1,2.33,9.71,5
Bioplastic,939,Low,1,0.657,4.695,7
Bioplastic,796,Medium,1,0.557,3.98,7
Ceramic,1435,Low,1,1.722,7.175,5
Metal,227,Medium,1,0.409,1.135,5
Metal,1620,High,1,2.916,8.1,5
Metal,1456,Medium,1,2.621,7.28,5
Plastic,727,Medium,1,1.527,3.635,2
Metal,1751,High,1,3.152,8.755,5
Plastic,1827,Medium,0,3.837,9.135,2
Paper,1667,Low,0,1.5,8.335,9
Metal,1264,Low,1,2.275,6.32,5
Bioplastic,1876,Low,1,1.313,9.38,7
Plastic,487,Low,1,1.023,2.435,2
Metal,1189,High,1,2.14,5.945,5
Ceramic,1871,Low,1,2.245,9.355,5
Plastic,1619,Medium,1,3.4,8.095,2
Ceramic,1145,Medium,1,1.374,5.725,5
Bioplastic,1217,Medium,1,0.852,6.085,7
Ceramic,1313,Medium,1,1.576,6.565,5
Glass,1756,Medium,0,2.634,8.78,6
Bioplastic,302,Medium,1,0.211,1.51,7
Glass,150,Medium,1,0.225,0.75,6
Plastic,1304,Medium,1,2.738,6.52,2
Plastic,1014,Low,1,2.129,5.07,2
Bioplastic,1446,Low,1,1.012,7.23,7
Glass,990,Medium,1,1.485,4.95,6
Bioplastic,1276,Medium,1,0.893,6.38,7
Ceramic,1061,Medium,1,1.273,5.305,5
Plastic,1647,High,1,3.459,8.235,2
Metal,166,Medium,1,0.299,0.83,5
Ceramic,1160,High,1,1.392,5.8,5
Glass,1847,Low,1,2.771,9.235,6
Plastic,1584,High,1,3.326,7.92,2
Ceramic,860,Low,1,1.032,4.3,5
Paper,231,High,1,0.208,1.155,9
Metal,810,Medium,1,1.458,4.05,5
Bioplastic,1015,Medium,1,0.711,5.075,7
Bioplastic,1091,Low,1,0.764,5.455,7
Bioplastic,248,Medium,1,0.174,1.24,7
Paper,384,Medium,1,0.346,1.92,9
Paper,1001,High,1,0.901,5.005,9
Bioplastic,136,Medium,1,0.095,0.68,7
Glass,684,Medium,1,1.026,3.42,6
Ceramic,1577,Low,1,1.892,7.885,5
Metal,1605,Low,1,2.889,8.025,5
Paper,1386,High,1,1.247,6.93,9
Plastic,377,High,1,0.792,1.885,2
Bioplastic,284,Low,1,0.199,1.42,7
Plastic,207,Low,1,0.435,1.035,2
Paper,1996,High,1,1.796,9.98,9
